id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa
0,daddy (child's word),English (American),WG,word,people,other,other,daddy,29808000,345
1,mommy (child's word),English (American),WG,word,people,other,other,mommy,30240000,350
2,bye,English (American),WG,word,games_routines,other,other,bye,35164800,407
3,uh oh,English (American),WG,word,sounds,other,other,uh oh,36374400,421
4,hi,English (American),WG,word,games_routines,other,other,hi,37238400,431
5,ball,English (American),WG,word,toys,nouns,nouns,ball,37411200,433
6,dog,English (American),WG,word,animals,nouns,nouns,dog,38966400,451
7,no,English (American),WG,word,games_routines,other,other,no,39312000,455
8,woof woof,English (American),WG,word,sounds,other,other,woof woof,39916800,462
9,yum yum,English (American),WG,word,sounds,other,other,yum yum,41040000,475
10,baby,English (American),WG,word,people,other,other,baby,41212800,477
11,book,English (American),WG,word,toys,nouns,nouns,book,41990400,486
12,grrr,English (American),WG,word,sounds,other,other,grrr,42076800,487
13,moo,English (American),WG,word,sounds,other,other,moo,42076800,487
14,meow,English (American),WG,word,sounds,other,other,meow,42595200,493
15,banana,English (American),WG,word,food_drink,nouns,nouns,banana,42595200,493
16,vroom,English (American),WS,word,sounds,other,other,vroom,42595200,493
17,shoe,English (American),WG,word,clothing,nouns,nouns,shoe,42940800,497
18,duck,English (American),WS,word,animals,nouns,nouns,duck,43372800,502
19,bird,English (American),WS,word,animals,nouns,nouns,bird,43545600,504
20,eye,English (American),WS,word,body_parts,nouns,nouns,eye,43977600,509
21,nose,English (American),WS,word,body_parts,nouns,nouns,nose,44150400,511
22,balloon,English (American),WS,word,toys,nouns,nouns,balloon,44409600,514
23,ouch,English (American),WS,word,sounds,other,other,ouch,44496000,515
24,quack quack,English (American),WS,word,sounds,other,other,quack quack,44582400,516
25,car,English (American),WS,word,vehicles,nouns,nouns,car,44668800,517
26,hot,English (American),WS,word,descriptive_words,predicates,adjectives,hot,45014400,521
27,kitty,English (American),WS,word,animals,nouns,nouns,kitty,45100800,522
28,baa baa,English (American),WG,word,sounds,other,other,baa baa,45273600,524
29,juice,English (American),WS,word,food_drink,nouns,nouns,juice,45273600,524
30,night night,English (American),WS,word,games_routines,other,other,good night,45273600,524
31,grandma (child's word),English (American),WS,word,people,other,other,grandma,45360000,525
32,cat,English (American),WS,word,animals,nouns,nouns,cat,45532800,527
33,cookie,English (American),WS,word,food_drink,nouns,nouns,cookie,46396800,537
34,thank you,English (American),WS,word,games_routines,other,other,thank you,46483200,538
35,cheese,English (American),WS,word,food_drink,nouns,nouns,cheese,46569600,539
36,milk,English (American),WS,word,food_drink,nouns,nouns,milk,46569600,539
37,ear,English (American),WS,word,body_parts,nouns,nouns,ear,46569600,539
38,bath,English (American),WS,word,games_routines,other,other,bath,46569600,539
39,bubbles,English (American),WS,word,toys,nouns,nouns,bubbles,46828800,542
40,apple,English (American),WS,word,food_drink,nouns,nouns,apple,46915200,543
41,yes,English (American),WS,word,games_routines,other,other,yes,46915200,543
42,hat,English (American),WS,word,clothing,nouns,nouns,hat,47606400,551
43,grandpa (child's word),English (American),WS,word,people,other,other,grandpa,48038400,556
44,bottle,English (American),WS,word,household,nouns,nouns,bottle,48124800,557
45,hello,English (American),WS,word,games_routines,other,other,hello,48297600,559
46,shh/shush/hush,English (American),WS,word,games_routines,other,other,shh,48470400,561
47,fish (animal),English (American),WS,word,animals,nouns,nouns,fish,48643200,563
48,up,English (American),WS,word,locations,function_words,function_words,up,48643200,563
49,please,English (American),WS,word,games_routines,other,other,please,48729600,564
50,all gone,English (American),WS,word,descriptive_words,predicates,adjectives,all gone,48816000,565
51,truck,English (American),WS,word,vehicles,nouns,nouns,truck,48902400,566
52,bear,English (American),WS,word,animals,nouns,nouns,bear,49075200,568
53,cracker,English (American),WS,word,food_drink,nouns,nouns,cracker,49075200,568
54,peekaboo,English (American),WS,word,games_routines,other,other,peekaboo,49075200,568
55,water (beverage),English (American),WS,word,food_drink,nouns,nouns,water,49161600,569
56,owie/boo boo,English (American),WS,word,body_parts,nouns,nouns,owie,49507200,573
57,choo choo,English (American),WS,word,sounds,other,other,choo choo,49593600,574
58,diaper,English (American),WS,word,clothing,nouns,nouns,diaper,49852800,577
59,go,English (American),WS,word,action_words,predicates,verbs,go,50198400,581
60,cup,English (American),WS,word,household,nouns,nouns,cup,50284800,582
61,water (not beverage),English (American),WS,word,outside,nouns,nouns,water (not beverage),50544000,585
62,down,English (American),WS,word,locations,function_words,function_words,down,50630400,586
63,hair,English (American),WS,word,body_parts,nouns,nouns,hair,50716800,587
64,child's own name,English (American),WS,word,people,other,other,child's own name,51148800,592
65,cow,English (American),WS,word,animals,nouns,nouns,cow,51321600,594
66,more,English (American),WS,word,quantifiers,function_words,function_words,more,51321600,594
67,outside,English (American),WS,word,places,other,other,outside,51494400,596
68,spoon,English (American),WS,word,household,nouns,nouns,spoon,51667200,598
69,mine,English (American),WS,word,pronouns,function_words,function_words,mine,51667200,598
70,door,English (American),WS,word,furniture_rooms,nouns,nouns,door,51840000,600
71,eat,English (American),WS,word,action_words,predicates,verbs,eat,51926400,601
72,airplane,English (American),WS,word,vehicles,nouns,nouns,airplane,52012800,602
73,tree,English (American),WS,word,outside,nouns,nouns,tree,52012800,602
74,mouth,English (American),WS,word,body_parts,nouns,nouns,mouth,52099200,603
75,light,English (American),WS,word,household,nouns,nouns,light,52444800,607
76,horse,English (American),WS,word,animals,nouns,nouns,horse,52704000,610
77,belly button,English (American),WS,word,body_parts,nouns,nouns,belly button,52704000,610
78,flower,English (American),WS,word,outside,nouns,nouns,flower,52704000,610
79,blanket,English (American),WS,word,household,nouns,nouns,blanket,52790400,611
80,bunny,English (American),WS,word,animals,nouns,nouns,bunny,52876800,612
81,sock,English (American),WS,word,clothing,nouns,nouns,sock,53136000,615
82,boat,English (American),WS,word,vehicles,nouns,nouns,boat,53222400,616
83,bed,English (American),WS,word,furniture_rooms,nouns,nouns,bed,53308800,617
84,puppy,English (American),WS,word,animals,nouns,nouns,puppy,53481600,619
85,pig,English (American),WS,word,animals,nouns,nouns,pig,53568000,620
86,chair,English (American),WS,word,furniture_rooms,nouns,nouns,chair,53568000,620
87,moon,English (American),WS,word,outside,nouns,nouns,moon,53568000,620
88,bus,English (American),WS,word,vehicles,nouns,nouns,bus,53913600,624
89,foot,English (American),WS,word,body_parts,nouns,nouns,foot,5.40E+07,625
90,toe,English (American),WS,word,body_parts,nouns,nouns,toe,5.40E+07,625
91,train,English (American),WS,word,vehicles,nouns,nouns,train,54259200,628
92,bee,English (American),WS,word,animals,nouns,nouns,bee,54345600,629
93,cold,English (American),WS,word,descriptive_words,predicates,adjectives,cold,54432000,630
94,drink (beverage),English (American),WS,word,food_drink,nouns,nouns,drink,54518400,631
95,keys,English (American),WS,word,household,nouns,nouns,keys,54518400,631
96,telephone,English (American),WS,word,household,nouns,nouns,telephone,54518400,631
97,potty,English (American),WS,word,furniture_rooms,nouns,nouns,potty,54518400,631
98,hand,English (American),WS,word,body_parts,nouns,nouns,hand,54691200,633
99,drink (action),English (American),WS,word,action_words,predicates,verbs,drink,54777600,634
100,kiss,English (American),WS,word,action_words,predicates,verbs,kiss,54777600,634
101,pet's name,English (American),WS,word,people,other,other,pet's name,54864000,635
102,bug,English (American),WS,word,animals,nouns,nouns,bug,55209600,639
103,monkey,English (American),WS,word,animals,nouns,nouns,monkey,55296000,640
104,block,English (American),WS,word,toys,nouns,nouns,block,55296000,640
105,toy (object),English (American),WS,word,toys,nouns,nouns,toy,55296000,640
106,tummy,English (American),WS,word,body_parts,nouns,nouns,tummy,55382400,641
107,pizza,English (American),WS,word,food_drink,nouns,nouns,pizza,55468800,642
108,off,English (American),WS,word,locations,function_words,function_words,off,55468800,642
109,head,English (American),WS,word,body_parts,nouns,nouns,head,55555200,643
110,toothbrush,English (American),WS,word,household,nouns,nouns,toothbrush,55641600,644
111,bread,English (American),WS,word,food_drink,nouns,nouns,bread,55814400,646
112,bicycle,English (American),WS,word,vehicles,nouns,nouns,bicycle,55900800,647
113,TV,English (American),WS,word,furniture_rooms,nouns,nouns,tv,55900800,647
114,home,English (American),WS,word,places,other,other,home,55900800,647
115,shirt,English (American),WS,word,clothing,nouns,nouns,shirt,56073600,649
116,tooth,English (American),WS,word,body_parts,nouns,nouns,tooth,56160000,650
117,on,English (American),WS,word,locations,function_words,function_words,on,56160000,650
118,finger,English (American),WS,word,body_parts,nouns,nouns,finger,56246400,651
119,swing (object),English (American),WS,word,outside,nouns,nouns,swing ,56246400,651
120,hug,English (American),WS,word,action_words,predicates,verbs,hug,56246400,651
121,open,English (American),WS,word,action_words,predicates,verbs,open (action),56332800,652
122,arm,English (American),WS,word,body_parts,nouns,nouns,arm,56419200,653
123,ice cream,English (American),WS,word,food_drink,nouns,nouns,ice cream,56505600,654
124,brush,English (American),WS,word,household,nouns,nouns,brush,56505600,654
125,fork,English (American),WS,word,household,nouns,nouns,fork,56678400,656
126,sit,English (American),WS,word,action_words,predicates,verbs,sit,56678400,656
127,yucky,English (American),WS,word,descriptive_words,predicates,adjectives,yucky,56678400,656
128,doll,English (American),WS,word,toys,nouns,nouns,doll,56764800,657
129,rock,English (American),WS,word,outside,nouns,nouns,rock,56764800,657
130,out,English (American),WS,word,locations,function_words,function_words,out,56764800,657
131,frog,English (American),WS,word,animals,nouns,nouns,frog,56851200,658
132,cereal,English (American),WS,word,food_drink,nouns,nouns,cereal,56851200,658
133,egg,English (American),WS,word,food_drink,nouns,nouns,egg,56851200,658
134,me,English (American),WS,word,pronouns,function_words,function_words,me,56851200,658
135,grapes,English (American),WS,word,food_drink,nouns,nouns,grapes,56937600,659
136,cake,English (American),WS,word,food_drink,nouns,nouns,cake,57024000,660
137,fish (food),English (American),WS,word,food_drink,nouns,nouns,fish,57024000,660
138,bathtub,English (American),WS,word,furniture_rooms,nouns,nouns,bathtub,57024000,660
139,bite,English (American),WS,word,action_words,predicates,verbs,bite,57024000,660
140,rain,English (American),WS,word,outside,nouns,nouns,rain,57196800,662
141,buttocks/bottom (child's word),English (American),WS,word,body_parts,nouns,nouns,butt,57283200,663
142,pants,English (American),WS,word,clothing,nouns,nouns,pants,57369600,664
143,box,English (American),WS,word,household,nouns,nouns,box,57369600,664
144,button,English (American),WS,word,clothing,nouns,nouns,button,57456000,665
145,dirty,English (American),WS,word,descriptive_words,predicates,adjectives,dirty,57456000,665
146,pillow,English (American),WS,word,household,nouns,nouns,pillow,57628800,667
147,big,English (American),WS,word,descriptive_words,predicates,adjectives,big,57888000,670
148,star,English (American),WS,word,outside,nouns,nouns,star,57974400,671
149,candy,English (American),WS,word,food_drink,nouns,nouns,candy,58060800,672
150,wet,English (American),WS,word,descriptive_words,predicates,adjectives,wet (description),58060800,672
151,boots,English (American),WS,word,clothing,nouns,nouns,boots,58147200,673
152,read,English (American),WS,word,action_words,predicates,verbs,read,58147200,673
153,soap,English (American),WS,word,household,nouns,nouns,soap,58233600,674
154,knee,English (American),WS,word,body_parts,nouns,nouns,knee,58320000,675
155,bowl,English (American),WS,word,household,nouns,nouns,bowl,58320000,675
156,nap,English (American),WS,word,games_routines,other,other,nap,58320000,675
157,elephant,English (American),WS,word,animals,nouns,nouns,elephant,58406400,676
158,coat,English (American),WS,word,clothing,nouns,nouns,coat,58406400,676
159,walk,English (American),WS,word,action_words,predicates,verbs,walk,58406400,676
160,chicken (food),English (American),WS,word,food_drink,nouns,nouns,chicken (food),58492800,677
161,paper,English (American),WS,word,household,nouns,nouns,paper,58492800,677
162,go potty,English (American),WS,word,games_routines,other,other,go potty,58492800,677
163,stop,English (American),WS,word,action_words,predicates,verbs,stop,58492800,677
164,house,English (American),WS,word,places,other,other,house,58579200,678
165,help,English (American),WS,word,action_words,predicates,verbs,help,58579200,678
166,turtle,English (American),WS,word,animals,nouns,nouns,turtle,58665600,679
167,ice,English (American),WS,word,food_drink,nouns,nouns,ice,58665600,679
168,orange (food),English (American),WS,word,food_drink,nouns,nouns,orange (food),58665600,679
169,play,English (American),WS,word,action_words,predicates,verbs,play,58665600,679
170,chicken (animal),English (American),WS,word,animals,nouns,nouns,chicken (animal),58838400,681
171,see,English (American),WS,word,action_words,predicates,verbs,see,58838400,681
172,clock,English (American),WS,word,household,nouns,nouns,clock,58924800,682
173,sleep,English (American),WS,word,action_words,predicates,verbs,sleep,59011200,683
174,lion,English (American),WS,word,animals,nouns,nouns,lion,59097600,684
175,french fries,English (American),WS,word,food_drink,nouns,nouns,french fries,59097600,684
176,blue,English (American),WS,word,descriptive_words,predicates,adjectives,blue,59097600,684
177,leg,English (American),WS,word,body_parts,nouns,nouns,leg,59184000,685
178,sun,English (American),WS,word,outside,nouns,nouns,sun,59184000,685
179,love,English (American),WS,word,action_words,predicates,verbs,love,59270400,686
180,swing (action),English (American),WS,word,action_words,predicates,verbs,swing (action),59270400,686
181,mouse,English (American),WS,word,animals,nouns,nouns,mouse,59356800,687
182,slide (object),English (American),WS,word,outside,nouns,nouns,slide (object),59356800,687
183,jump,English (American),WS,word,action_words,predicates,verbs,jump,59356800,687
184,butterfly,English (American),WS,word,animals,nouns,nouns,butterfly,59443200,688
185,crayon,English (American),WS,word,toys,nouns,nouns,crayon,59443200,688
186,towel,English (American),WS,word,household,nouns,nouns,towel,59529600,689
187,park,English (American),WS,word,places,other,other,park,59616000,690
188,teddybear,English (American),WS,word,animals,nouns,nouns,teddybear,59702400,691
189,boy,English (American),WS,word,people,other,other,boy,59961600,694
190,cry,English (American),WS,word,action_words,predicates,verbs,cry,59961600,694
191,tickle,English (American),WS,word,action_words,predicates,verbs,tickle,59961600,694
192,pajamas,English (American),WS,word,clothing,nouns,nouns,pajamas,60048000,695
193,tongue,English (American),WS,word,body_parts,nouns,nouns,tongue,60048000,695
194,glasses,English (American),WS,word,household,nouns,nouns,glasses,60048000,695
195,cheek,English (American),WS,word,body_parts,nouns,nouns,cheek,60220800,697
196,money,English (American),WS,word,household,nouns,nouns,money,60220800,697
197,dance,English (American),WS,word,action_words,predicates,verbs,dance,60307200,698
198,fall,English (American),WS,word,action_words,predicates,verbs,fall,60307200,698
199,toast,English (American),WS,word,food_drink,nouns,nouns,toast,60393600,699
200,grass,English (American),WS,word,outside,nouns,nouns,grass,60393600,699
201,sheep,English (American),WS,word,animals,nouns,nouns,sheep,60480000,700
202,food,English (American),WS,word,food_drink,nouns,nouns,food,60480000,700
203,broken,English (American),WS,word,descriptive_words,predicates,adjectives,broken,60566400,701
204,cheerios,English (American),WS,word,food_drink,nouns,nouns,cheerios,60652800,702
205,bathroom,English (American),WS,word,furniture_rooms,nouns,nouns,bathroom,60652800,702
206,table,English (American),WS,word,furniture_rooms,nouns,nouns,table,60739200,703
207,pool,English (American),WS,word,outside,nouns,nouns,pool,60739200,703
208,yogurt,English (American),WS,word,food_drink,nouns,nouns,yogurt,60912000,705
209,school,English (American),WS,word,places,other,other,school,60912000,705
210,bib,English (American),WS,word,clothing,nouns,nouns,bib,60998400,706
211,run,English (American),WS,word,action_words,predicates,verbs,run,60998400,706
212,owl,English (American),WS,word,animals,nouns,nouns,owl,61084800,707
213,call (on phone),English (American),WS,word,games_routines,other,other,call on phone,61084800,707
214,clap,English (American),WS,word,action_words,predicates,verbs,clap,61084800,707
215,that,English (American),WS,word,pronouns,function_words,function_words,that,61084800,707
216,face,English (American),WS,word,body_parts,nouns,nouns,face,61171200,708
217,store,English (American),WS,word,places,other,other,store,61171200,708
218,wash,English (American),WS,word,action_words,predicates,verbs,wash,61171200,708
219,carrots,English (American),WS,word,food_drink,nouns,nouns,carrots,61344000,710
220,broom,English (American),WS,word,household,nouns,nouns,broom,61344000,710
221,clean (description),English (American),WS,word,descriptive_words,predicates,adjectives,clean (description),61344000,710
222,pen,English (American),WS,word,toys,nouns,nouns,pen,61430400,711
223,jacket,English (American),WS,word,clothing,nouns,nouns,jacket,61430400,711
224,what,English (American),WS,word,question_words,function_words,function_words,what,61430400,711
225,tiger,English (American),WS,word,animals,nouns,nouns,tiger,61516800,712
226,look,English (American),WS,word,action_words,predicates,verbs,look,61516800,712
227,good,English (American),WS,word,descriptive_words,predicates,adjectives,good,61516800,712
228,inside/in,English (American),WS,word,locations,function_words,function_words,in,61516800,712
229,chin,English (American),WS,word,body_parts,nouns,nouns,chin,61603200,713
230,noodles,English (American),WS,word,food_drink,nouns,nouns,pasta,61776000,715
231,popcorn,English (American),WS,word,food_drink,nouns,nouns,popcorn,61776000,715
232,kitchen,English (American),WS,word,furniture_rooms,nouns,nouns,kitchen,61776000,715
233,work (place),English (American),WS,word,places,other,other,work (place),61776000,715
234,get,English (American),WS,word,action_words,predicates,verbs,get,61776000,715
235,I,English (American),WS,word,pronouns,function_words,function_words,i,61776000,715
236,corn,English (American),WS,word,food_drink,nouns,nouns,corn,61862400,716
237,plate,English (American),WS,word,household,nouns,nouns,plate,61862400,716
238,shower,English (American),WS,word,furniture_rooms,nouns,nouns,shower,61862400,716
239,girl,English (American),WS,word,people,other,other,girl,61862400,716
240,snack,English (American),WS,word,games_routines,other,other,snack,61862400,716
241,blow,English (American),WS,word,action_words,predicates,verbs,blow,61862400,716
242,red,English (American),WS,word,descriptive_words,predicates,adjectives,red,61862400,716
243,raisin,English (American),WS,word,food_drink,nouns,nouns,raisin,61948800,717
244,you,English (American),WS,word,pronouns,function_words,function_words,you,61948800,717
245,picture,English (American),WS,word,household,nouns,nouns,picture,62035200,718
246,clean (action),English (American),WS,word,action_words,predicates,verbs,clean (action),62121600,719
247,strawberry,English (American),WS,word,food_drink,nouns,nouns,strawberry,62208000,720
248,ride,English (American),WS,word,action_words,predicates,verbs,ride,62294400,721
249,breakfast,English (American),WS,word,games_routines,other,other,breakfast,62380800,722
250,happy,English (American),WS,word,descriptive_words,predicates,adjectives,happy,62380800,722
251,giraffe,English (American),WS,word,animals,nouns,nouns,giraffe,62467200,723
252,sky,English (American),WS,word,outside,nouns,nouns,sky,62467200,723
253,yellow,English (American),WS,word,descriptive_words,predicates,adjectives,yellow,62467200,723
254,firetruck,English (American),WS,word,vehicles,nouns,nouns,firetruck,62553600,724
255,medicine,English (American),WS,word,household,nouns,nouns,medicine,62553600,724
256,hungry,English (American),WS,word,descriptive_words,predicates,adjectives,hungry,62553600,724
257,puzzle,English (American),WS,word,toys,nouns,nouns,puzzle,62640000,725
258,pancake,English (American),WS,word,food_drink,nouns,nouns,pancake,62640000,725
259,animal,English (American),WS,word,animals,nouns,nouns,animal,62726400,726
260,potato chip,English (American),WS,word,food_drink,nouns,nouns,chips,62726400,726
261,slide (action),English (American),WS,word,action_words,predicates,verbs,slide (action),62726400,726
262,orange (description),English (American),WS,word,descriptive_words,predicates,adjectives,orange (description),62726400,726
263,spaghetti,English (American),WS,word,food_drink,nouns,nouns,pasta,62812800,727
264,sweater,English (American),WS,word,clothing,nouns,nouns,sweater,62812800,727
265,watch (object),English (American),WS,word,household,nouns,nouns,watch (object),62812800,727
266,lunch,English (American),WS,word,games_routines,other,other,lunch,62899200,728
267,close,English (American),WS,word,action_words,predicates,verbs,close,62899200,728
268,couch,English (American),WS,word,furniture_rooms,nouns,nouns,couch,62985600,729
269,stick,English (American),WS,word,outside,nouns,nouns,stick,62985600,729
270,dinner,English (American),WS,word,games_routines,other,other,dinner,62985600,729
271,kick,English (American),WS,word,action_words,predicates,verbs,kick,62985600,729
272,green,English (American),WS,word,descriptive_words,predicates,adjectives,green,62985600,729
273,butter,English (American),WS,word,food_drink,nouns,nouns,butter,63072000,730
274,trash,English (American),WS,word,household,nouns,nouns,trash,63072000,730
275,hit,English (American),WS,word,action_words,predicates,verbs,hit,63072000,730
276,sing,English (American),WS,word,action_words,predicates,verbs,sing,63072000,730
277,throw,English (American),WS,word,action_words,predicates,verbs,throw,63072000,730
278,pretty,English (American),WS,word,descriptive_words,predicates,adjectives,pretty,63072000,730
279,vacuum,English (American),WS,word,household,nouns,nouns,vacuum,63158400,731
280,hurt,English (American),WS,word,descriptive_words,predicates,adjectives,hurt (description),63158400,731
281,night,English (American),WS,word,time_words,other,other,night,63244800,732
282,push,English (American),WS,word,action_words,predicates,verbs,push,63331200,733
283,swim,English (American),WS,word,action_words,predicates,verbs,swim,63331200,733
284,beans,English (American),WS,word,food_drink,nouns,nouns,beans,63417600,734
285,peanut butter,English (American),WS,word,food_drink,nouns,nouns,peanut butter,63417600,734
286,peas,English (American),WS,word,food_drink,nouns,nouns,peas,63504000,735
287,sandwich,English (American),WS,word,food_drink,nouns,nouns,sandwich,63590400,736
288,this,English (American),WS,word,pronouns,function_words,function_words,this,63590400,736
289,napkin,English (American),WS,word,household,nouns,nouns,napkin,63676800,737
290,room,English (American),WS,word,furniture_rooms,nouns,nouns,room,63676800,737
291,doctor,English (American),WS,word,people,other,other,doctor,63676800,737
292,asleep,English (American),WS,word,descriptive_words,predicates,adjectives,asleep,63676800,737
293,my,English (American),WS,word,pronouns,function_words,function_words,my,63676800,737
294,break,English (American),WS,word,action_words,predicates,verbs,break,63763200,738
295,do,English (American),WS,word,helping_verbs,function_words,function_words,do,63763200,738
296,ant,English (American),WS,word,animals,nouns,nouns,ant,63849600,739
297,gonna get you!,English (American),WS,word,games_routines,other,other,gonna get you,63849600,739
298,story,English (American),WS,word,toys,nouns,nouns,story,63936000,740
299,zipper,English (American),WS,word,clothing,nouns,nouns,zipper,64022400,741
300,purse,English (American),WS,word,household,nouns,nouns,purse,64022400,741
301,tissue/kleenex,English (American),WS,word,household,nouns,nouns,tissue,64022400,741
302,hamburger,English (American),WS,word,food_drink,nouns,nouns,hamburger,64195200,743
303,shorts,English (American),WS,word,clothing,nouns,nouns,shorts,64195200,743
304,comb,English (American),WS,word,household,nouns,nouns,comb (object),64195200,743
305,window,English (American),WS,word,furniture_rooms,nouns,nouns,window,64195200,743
306,work (action),English (American),WS,word,action_words,predicates,verbs,work (action),64195200,743
307,heavy,English (American),WS,word,descriptive_words,predicates,adjectives,heavy,64195200,743
308,coffee,English (American),WS,word,food_drink,nouns,nouns,coffee,64281600,744
309,soup,English (American),WS,word,food_drink,nouns,nouns,soup,64281600,744
310,drive,English (American),WS,word,action_words,predicates,verbs,drive,64281600,744
311,helicopter,English (American),WS,word,vehicles,nouns,nouns,helicopter,64368000,745
312,chocolate,English (American),WS,word,food_drink,nouns,nouns,chocolate,64368000,745
313,stairs,English (American),WS,word,furniture_rooms,nouns,nouns,stairs,64368000,745
314,fix,English (American),WS,word,action_words,predicates,verbs,fix,64368000,745
315,bad,English (American),WS,word,descriptive_words,predicates,adjectives,bad,64454400,746
316,here,English (American),WS,word,locations,function_words,function_words,here,64454400,746
317,squirrel,English (American),WS,word,animals,nouns,nouns,squirrel,64540800,747
318,babysitter's name,English (American),WS,word,people,other,other,babysitter's name,64540800,747
319,cockadoodledoo,English (American),WS,word,sounds,other,other,cockadoodledoo,64627200,748
320,zebra,English (American),WS,word,animals,nouns,nouns,zebra,64627200,748
321,hold,English (American),WS,word,action_words,predicates,verbs,hold,64627200,748
322,snow,English (American),WS,word,outside,nouns,nouns,snow,64713600,749
323,wanna/want to,English (American),WS,word,helping_verbs,function_words,function_words,wanna,64713600,749
324,knife,English (American),WS,word,household,nouns,nouns,knife,64800000,750
325,cook,English (American),WS,word,action_words,predicates,verbs,cook,64800000,750
